posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-02 09:26:00, (Brooklyn Park),"Controlled Access, Private Balcony, Easy Access",1.0,775.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-controlled-access-private/7134493918.html,975,Brooklyn Park,,Brooklyn Park,55443,1,4,4
2020-06-02 09:25:00, (Minneapolis),2 bed/1 bath apartment near the Greenway/Sonora Grill!,2.0,750.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2-bed-1-bath-apartment-near/7131256091.html,1095,Minneapolis,,Howe,55406,1,4,3
2020-06-02 09:25:00, (Brooklyn Park),"*?*Quaint-Quiet 3 bedroom 3 bath in Brooklyn Park (Brooklyn Park, MN)@",3.0,1540.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-quaint-quiet-3-bedroom-3/7134442583.html,603,Brooklyn Park,,Brooklyn Park,55443,6,2,
2020-06-02 09:24:00, (Eden Prairie),"$99+ deposits, Price Drop, Pool",2.0,1265.0,https://minneapolis.craigslist.org/hnp/apa/d/eden-prairie-99-deposits-price-drop-pool/7133161787.html,1525,Eden Prairie,,Eden Prairie,55347,1,4,4
2020-06-02 09:24:00, (St Paul / East Side),"1 & 2 Bedrooms ~ St Paul ~ Pet Friendly, Large Closets",1.0,625.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-1-2-bedrooms-st-paul-pet/7130543450.html,920,St. Paul,,St. Paul,55106,1,4,4
2020-06-02 09:23:00, (Burnsville),Great Renovations! Great location! Waived admin fee!,1.0,786.0,https://minneapolis.craigslist.org/dak/apa/d/burnsville-great-renovations-great/7132020971.html,1095,Burnsville,,Burnsville,55337,1,4,4
2020-06-02 09:22:00, (St Paul / East Side),"1 BR Apts - White Bear Ave and 94, St Paul - Large Closets!",1.0,730.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-1-br-apts-white-bear-ave-and/7130544353.html,975,St. Paul,,St. Paul,55119,1,3,3
2020-06-02 09:22:00," (Minneapolis, Edina, St Paul and SLP)",NEED FURNISHED STR FOR PROFESSIONAL NURSES,,700.0,https://minneapolis.craigslist.org/hnp/apa/d/saint-paul-need-furnished-str-for/7122210939.html,2200,St. Paul,,St. Paul,55104,2,,
2020-06-02 09:21:00, (Eden Prairie),Peace & Serenity Can Be Yours In Our Incredible Community,1.0,943.0,https://minneapolis.craigslist.org/hnp/apa/d/eden-prairie-peace-serenity-can-be/7134491025.html,1660,Eden Prairie,,Eden Prairie,55344,1,2,1
2020-06-02 09:21:00, (St Paul),"1 & 2 Bedrooms Apartments ~ St Paul, by U of M ~ HUGE CLOSETS!",1.0,730.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-1-2-bedrooms-apartments-st/7128914908.html,1019,St. Paul,,St. Paul,55108,1,3,3
