posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-04 20:06:00," (Shady Oak Rd, Eden Prairie)","1st Month FREE!! Wood-Burning Fireplace, Impressive Amenities, Sauna!",2.0,1100.0,https://minneapolis.craigslist.org/hnp/apa/d/eden-prairie-1st-month-free-wood/7136043872.html,1580,Eden Prairie,,Eden Prairie,55344,1,2,1
2020-06-04 20:06:00," (North Loop/Downtown, Minneapolis)","Urban Inspired Design, Custom Finishes, Amenities Galore, Yoga Studio!",2.0,1000.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-urban-inspired-design/7136020255.html,2330,Minneapolis,,St Anthony West,55401,1,2,1
2020-06-04 20:00:00, (NE Minneapolis),"Beautiful, 2 bed/1bath, sunny, top flr, hw flrs, free laundry",2.0,850.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-beautiful-2-bed-1bath-sunny/7136058454.html,1250,Minneapolis,,St Anthony East,55413,1,5,4
2020-06-04 19:57:00, (Little Canada),Beautiful 1 Bed Condo w/Heated Garage -Pool + more! Avail. 7-15-19,1.0,735.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-beautiful-1-bed-condo-heated/7134834467.html,935,Little Canada,,Little Canada,55117,2,2,3
2020-06-04 19:56:00, (New Brighton),Renovated Two Bedroom Apartment>>>,2.0,967.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-renovated-two-bedroom/7136056854.html,1240,New Brighton,,New Brighton,55112,1,3,3
2020-06-04 19:55:00, (35th St. & Colfax Ave. S.),"SUNNY, 1 bedroom, HARDWOOD floors. S. UPTOWN area",1.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-sunny-1-bedroom-hardwood/7136056427.html,875,Minneapolis,,CARAG,55408,4,5,4
2020-06-04 19:52:00," (North Loop/Downtown, Minneapolis)","$1000 Off 1st Month!! Urban Inspired Design, Extraordinary Amenities!",1.0,700.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1000-off-1st-month-urban/7136040662.html,1625,Minneapolis,,St Anthony West,55401,1,2,1
2020-06-04 19:52:00," (W Lake St / Uptown, Minneapolis)","Eclectic, Urban, Upscale Design, Hardwood Floors, Impressive Amenities",2.0,1180.0,https://minneapolis.craigslist.org/hnp/apa/d/eclectic-urban-upscale-design-hardwood/7136043291.html,1940,Minneapolis,,Lyndale,55408,1,2,1
2020-06-04 19:50:00, (Uptown/Minneapolis),"SPECIAL! Hardwood Floors, Gourmet Kitchen w/Island, Endless Amenities!",2.0,1200.0,https://minneapolis.craigslist.org/hnp/apa/d/special-hardwood-floors-gourmet-kitchen/7136042446.html,1880,Minneapolis,,Lyndale,55408,1,2,1
2020-06-04 19:49:00," (Uptown, Minneapolis)","1st Month FREE! 10ft Ceilings, Gas Range, Urban Upgrades, Dog Park/Spa",2.0,900.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1st-month-free-10ft/7136047736.html,1970,Minneapolis,,Lyndale,55408,1,2,1
2020-06-04 19:49:00," (Flying Cloud Dr., Eden Prairie)","++DEN! Exquisite Remodel, Walk to Shopping/Dining, Amenities Galore",2.0,1270.0,https://minneapolis.craigslist.org/hnp/apa/d/den-exquisite-remodel-walk-to-shopping/7136044145.html,1740,Eden Prairie,,Eden Prairie,55344,1,2,1
2020-06-04 19:47:00," (Uptown, Minneapolis)","1st Month FREE! Gas Range, Urban Upgrades, Dog Park, Amenities Galore!",1.0,625.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1st-month-free-gas-range/7136048211.html,1465,Minneapolis,,Lyndale,55408,1,2,1
