posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-04 13:48:00," (12212 Oak Leaf Circle, Burnsville, MN)",End Unit 2 Bedroom Townhouse - 2 Car Garage- Laundry in Unit,2.0,1348.0,https://minneapolis.craigslist.org/dak/apa/d/burnsville-end-unit-2-bedroom-townhouse/7135839874.html,1450,Burnsville,,Burnsville,55337,9,2,1
2020-06-04 13:47:00, (Uptown),Lakes & Trails Steps from 1BR Uptown Oasis - 1 MONTH FREE RENT!,1.0,488.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-lakes-trails-steps-from-1br/7135840081.html,1595,Minneapolis,,East Calhoun,55408,1,2,1
2020-06-04 13:46:00," (South metro, close to the airport and downtown Minneapolis)",Start Your Summer Off In A New Home! Virtual Tours An Ask Away!,2.0,950.0,https://minneapolis.craigslist.org/dak/apa/d/burnsville-start-your-summer-off-in-new/7133310217.html,1333,Burnsville,,Burnsville,55337,1,3,3
2020-06-04 13:46:00, (Elliot Park),1 Bed/2 Bath Skyscape Condo Rental,1.0,870.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1-bed-2-bath-skyscape-condo/7120726343.html,1695,Minneapolis,,Phillips West,55404,2,2,1
2020-06-04 13:44:00," (35W, Bloomington)","Heat is Included, World-Class Amenities, Set on 42 Acres, Close to MOA",2.0,954.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-heat-is-included-world/7134585727.html,1441,Bloomington,,Bloomington,55431,1,2,3
2020-06-04 13:44:00, (Richfield / Minneapolis),"Window coverings on all windows, OD pool with sunning deck, Gazebo",1.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-window-coverings-on-all/7135829672.html,1205,Richfield,Richfield,Diamond Lake,55423,1,3,3
2020-06-04 13:44:00," (Kellogg Blvd, St. Paul)","Unique, Urban Space! Impressive Upgrades, Amenities Galore, Dog Park!",2.0,746.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-unique-urban-space/7134597603.html,1800,St. Paul,,St. Paul,55101,1,2,1
2020-06-04 13:44:00," (35W, Bloomington)","Remodeled Townhome, Gorgeous Grounds, Great Amenities, Private Garage!",1.0,850.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-remodeled-townhome-gorgeous/7134597337.html,1578,Bloomington,,Bloomington,55431,9,2,1
2020-06-04 13:44:00, (3700 Huset Parkway),Don't Miss Out On Amazing 1 Bed Available Today!,1.0,753.0,https://minneapolis.craigslist.org/ank/apa/d/minneapolis-dont-miss-out-on-amazing-1/7135834389.html,1112,Hilltop,,Hilltop,55421,1,2,1
2020-06-04 13:44:00, (Lowertown),"2 bedroom, 2 bathroom on the 5th Floor!! Available July 10th!! #503",2.0,1263.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-2-bedroom-2-bathroom-on-the/7135845768.html,1840,St. Paul,,St. Paul,55146,1,2,1
2020-06-04 13:43:00, (Dinkytown),Charming 5 Bedroom Home In Dinkytown - Available September 2nd!,5.0,2400.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-charming-5-bedroom-home-in/7134610749.html,2500,Minneapolis,,Marcy-Holmes,55414,6,4,1
2020-06-04 13:41:00," (Minneapolis, MN)","2850 Cedar Ave S UNIT 208, 1 bd 1 ba, For Rent to Own",1.0,872.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2850-cedar-ave-unit-bd-1-ba/7119177000.html,650,Minneapolis,,Powderhorn Park,55407,1,,
2020-06-04 13:40:00, (Lowertown),"2 bedroom, 2 bathroom on 6th Floor!!  Available July 8th!! #615",2.0,1263.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-2-bedroom-2-bathroom-on-6th/7135843058.html,1850,St. Paul,,St. Paul,55146,1,2,1
2020-06-04 13:39:00," (Minneapolis, MN)","Remodeled -2 bedroom Northeast duplex, upper unit 2 bedroom",2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-remodeled-2-bedroom/7135817808.html,750,Minneapolis,,Audubon Park,55418,6,3,3
