posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-07 20:54:00, (Chevy Chase),"Valet Dry Cleaning, Incredible Amenities , Lease Today",1.0,893.0,https://washingtondc.craigslist.org/mld/apa/d/washington-valet-dry-cleaning/7137739553.html,2160,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:53:00, (Bethesda),1 Bedroom\1 Bath For Rent,1.0,900.0,https://washingtondc.craigslist.org/mld/apa/d/bethesda-1-bedroom1-bath-for-rent/7137739160.html,1750,,,Knollwood,20817,2,4,1
2020-06-07 20:53:00, (Hyattsville),"Commuters Dream, Spacious, Fitness Center, Metro, Shopping",1.0,693.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-commuters-dream-spacious/7134138197.html,1420,,,,20782,1,,3
2020-06-07 20:52:00, (Dupont),Sunny Large Bedroom in DuPont Circle,1.0,,https://washingtondc.craigslist.org/doc/apa/d/washington-sunny-large-bedroom-in/7129864764.html,1400,Washington,,Adams Morgan,20009,6,5,1
2020-06-07 20:52:00, (Dupont),Sunny Large Bedroom in DuPont Circle,1.0,,https://washingtondc.craigslist.org/doc/apa/d/washington-sunny-large-bedroom-in/7134973300.html,1400,Washington,,Adams Morgan,20009,6,5,1
2020-06-07 20:49:00," (Laurel, Ft. Meade, Savage, Russet)","Controlled access entry, Amazing courtyard views, Extra storage",1.0,899.0,https://washingtondc.craigslist.org/mld/apa/d/laurel-controlled-access-entry-amazing/7128513562.html,1345,,,Pines of Laurel,20724,1,,
2020-06-07 20:47:00, (Corner of Belcrest & Toledo Terrace),Virtual Tours Available! Appointments Available! Free Applications!,2.0,1085.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-virtual-tours-available/7137736764.html,2125,Hyattsville,,Kirkwood,20782,1,4,3
2020-06-07 20:47:00, (Chevy Chase),"Shops and Fine Dining, Leasing Now, Lease Today",1.0,791.0,https://washingtondc.craigslist.org/mld/apa/d/washington-shops-and-fine-dining/7137733885.html,1949,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:47:00, (Falls Church),Private 1BR Recently Renovated in Home,1.0,500.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-private-1br-recently/7137736581.html,1495,,,Bel Air,22042,6,5,
2020-06-07 20:45:00, (15 Minute Walk From PG Metro Station),Virtual Tours Available! Appointments Available! Free Applications!,2.0,1008.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-virtual-tours-available/7137735946.html,2060,Hyattsville,,Kirkwood,20782,1,4,3
2020-06-07 20:43:00," (Camp Spring, Morningside)",Two bedroom apartments with picture window,2.0,825.0,https://washingtondc.craigslist.org/doc/apa/d/suitland-two-bedroom-apartments-with/7126314256.html,1360,,,Suitland Manor,20746,1,,
2020-06-07 20:43:00," (Hyattsville, Chillum)","Huge $avings!!  2 BR $1,425 *~All Utilities Included~*~*",2.0,945.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-huge-avings-2-br-1425-all/7130776622.html,1425,Hyattsville,,Kirkwood,20782,1,4,2
2020-06-07 20:42:00, (One block From PG Plaza Mall),"Abundant Closet Space, Cable Ready, 24 Hour Emergency Maintenance",1.0,773.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-abundant-closet-space-cable/7137734767.html,1443,Hyattsville,,Kirkwood,20782,1,4,3
2020-06-07 20:41:00, (Downtown Bethesda Metro),►►Luxury Condo in the ♥ of Bethesda - 1 BLOCK from Metro,1.0,664.0,https://washingtondc.craigslist.org/mld/apa/d/luxury-condo-in-the-of-bethesda-1-block/7137734336.html,1850,Bethesda,,Arlington North,20814,,,
2020-06-07 20:41:00, (Chevy Chase),"Desk Concierge, Visit Your New Home, Stylish Features",1.0,791.0,https://washingtondc.craigslist.org/mld/apa/d/washington-desk-concierge-visit-your/7137734146.html,1949,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:40:00, (Chevy Chase),"Landscaped Courtyard, Call for Details, Visit Your New Home",1.0,893.0,https://washingtondc.craigslist.org/mld/apa/d/washington-landscaped-courtyard-call/7137734018.html,2160,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:38:00," (Beltsville, College Park)",OPEN HOUSE! $500 MOVE IN BONUS! FREE APPLICATION! CALL TODAY!,2.0,950.0,https://washingtondc.craigslist.org/mld/apa/d/southern-md-facility-open-house-500/7136456252.html,1735,,,Eleven Cedars,20705,,,
2020-06-07 20:37:00, (Arlington),"1 Month Rent FREE, On-Site Maintenance, Stainless Steel  Appliance",1.0,742.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-1-month-rent-free-on-site/7135389023.html,1655,,,Nauck,22204,1,4,1
2020-06-07 20:37:00, (6700 Belcrest Road),Best Price Around - Call for Appointment or Apply Online for FREE!,1.0,693.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-best-price-around-call-for/7137732557.html,1385,Hyattsville,,Kirkwood,20782,1,4,3
2020-06-07 20:33:00, (University Park),Luxurious Furnished Bedroom,1.0,,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-luxurious-furnished-bedroom/7137731017.html,800,University Park,University Park,College Heights Estates,20782,6,5,4
2020-06-07 20:31:00, (Petworth),Modern 2-level Penthouse with Private Rooftop Patio,3.0,1100.0,https://washingtondc.craigslist.org/doc/apa/d/washington-modern-2-level-penthouse/7137730183.html,2800,Washington,,Brightwood Park,20011,1,,1
2020-06-07 20:29:00, (Hyattsville),"Brand New Renovated w/SS Appliances, Granite CT, Plank Flooring",3.0,1246.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-brand-new-renovated-ss/7137729376.html,2460,,,,20782,1,,3
2020-06-07 20:27:00, (615 Gresham Place NW),Row House - Fully Renovated - Columbia Heights,2.0,1000.0,https://washingtondc.craigslist.org/doc/apa/d/washington-row-house-fully-renovated/7125586532.html,2950,Washington,,Shaw,20001,,,
2020-06-07 20:27:00, (615 Gresham Place NW),Row House - Fully Renovated - Columbia Heights,2.0,1000.0,https://washingtondc.craigslist.org/doc/apa/d/washington-row-house-fully-renovated/7131061033.html,2950,Washington,,Shaw,20001,9,5,1
2020-06-07 20:26:00, (15 Minute Walk From PG Metro Station),Beautiful 2 Bedroom w/ Balcony Apartment Home-Ready Today!,2.0,1008.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-beautiful-2-bedroom-balcony/7137728071.html,1714,Hyattsville,,Kirkwood,20782,1,4,3
2020-06-07 20:25:00, (Corner of Belcrest & Toledo Terrace),"Spacious & Stylish, Top Floor, Pet Friendly - Check Us Out!",1.0,867.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-spacious-stylish-top-floor/7137728054.html,1650,Hyattsville,,Kirkwood,20782,1,4,3
2020-06-07 20:24:00, (Arlington),"Perfect close to DC/NIH, furnished & utilities included",1.0,,https://washingtondc.craigslist.org/nva/apa/d/arlington-perfect-close-to-dc-nih/7121804784.html,1350,,,,22207,,,
2020-06-07 20:24:00," (Silver Spring, Kensington)","Amazing park & city views, Garage & street parking, Bike rooms",2.0,1358.0,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-amazing-park-city-views/7134204257.html,1751,Silver Spring,Silver Spring,Blair Circle,20910,1,,
2020-06-07 20:23:00, (Chevy Chase),"Laundry Facilities on Site, Convenient Location, Incredible Amenities",1.0,893.0,https://washingtondc.craigslist.org/mld/apa/d/washington-laundry-facilities-on-site/7137727001.html,2160,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:22:00," (Fairfax, VA)",Bright and Airy Two Bedroom Home!,2.0,1114.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-bright-and-airy-two-bedroom-home/7135413333.html,1945,Fairfax,Fairfax,Ardmore,22030,1,,1
2020-06-07 20:22:00," (4545 MacArthur Blvd NW  Washington, DC)",1 Bedroom/1 Bathroom in Palisades/Georgetown Area,1.0,700.0,https://washingtondc.craigslist.org/doc/apa/d/1-bedroom-1-bathroom-in-palisades/7135608072.html,1850,,,Foxhall Village,20016,1,1,3
2020-06-07 20:22:00, (Hyattsville),"Pawsitively Gorgeous w/Breakfast Bar, SS Appliances, Plank Flooring",1.0,773.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-pawsitively-gorgeous/7137726503.html,1609,,,,20782,1,,3
2020-06-07 20:20:00, (Chevy Chase),"Clothing Care Center, Come Look and Lease, Visit Your New Home",1.0,791.0,https://washingtondc.craigslist.org/mld/apa/d/washington-clothing-care-center-come/7137725786.html,1949,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:20:00, (Chevy Chase),"Rooftop Pool, Professionally Managed, Come Look and Lease",1.0,893.0,https://washingtondc.craigslist.org/mld/apa/d/washington-rooftop-pool-professionally/7137725602.html,2160,,,Pinehurst Circle,20815,1,4,4
2020-06-07 20:19:00, (One block From PG Plaza Mall),A Commuter's Dream! Free Applications - Won't Last Long on This Beauty,2.0,1085.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-commuters-dream-free/7137725358.html,2125,Hyattsville,,Kirkwood,20782,1,4,3
