posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-09-08 11:32:00," (Minneapolis, MN)",MUST SEE UPDATED HOUSE AVAILABLE IMMEDIATELY!!,3.0,1911.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-must-see-updated-house/7185387258.html,517,Minneapolis,,Howe,55406,6,4,2
2020-09-08 11:31:00," (Dinkytown, Marcy-Holmes, University of Minnesota, UofM,  UMN)",2BR+Den duplex apt near UofM for grad students & post-grads,2.0,1400.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2brden-duplex-apt-near-uofm/7190075760.html,1250,Minneapolis,,Marcy-Holmes,55414,4,4,3
2020-09-08 11:30:00," (Downtown / North Loop, Minneapolis)","++8 Weeks FREE+ 6 Months FREE Parking! Gas Range, Impressive Amenities",2.0,1125.0,https://minneapolis.craigslist.org/hnp/apa/d/8-weeks-free-6-months-free-parking-gas/7192406475.html,2175,Minneapolis,,St Anthony West,55401,1,2,1
2020-09-08 11:29:00," (Minnetonka Blvd, St Louis Park)","Immaculate Unit, Detached Garage, Close to Lakes, Endless Amenities",2.0,1048.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-immaculate-unit-detached/7192380649.html,1530,Saint Louis Park,,Willow Park,55426,1,3,1
2020-09-08 11:28:00, (*East Calhoun Neighborhood* Uptown Minneapolis),Totally Remodeled 2BR w/ New Kitchen w/ Island and New Bathroom,2.0,900.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-totally-remodeled-2br-new/7192415023.html,1390,Minneapolis,,CARAG,55409,1,4,1
2020-09-08 11:28:00, (St. Paul),"Outdoor Pool, Patio With Grill And Picnic Area",1.0,900.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-outdoor-pool-patio-with/7192414803.html,1385,St. Paul,,St. Paul,55108,1,4,3
2020-09-08 11:26:00, (St. Paul),Immediate Move In Available! One month FREE w/ a 13 Month Lease!!,1.0,650.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-immediate-move-in-available/7192395330.html,1275,Lauderdale,,Lauderdale,55113,1,4,1
2020-09-08 11:25:00, (Minneapolis),Crossings Condo 1br 1ba full amenities +parking,1.0,871.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-crossings-condo-1br-1ba/7192412456.html,1625,Minneapolis,,St Anthony West,55401,1,2,3
2020-09-08 11:25:00, (Uptown),Two Bedroom,2.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-two-bedroom/7188630901.html,1450,Minneapolis,,East Harriet,55409,1,5,3
2020-09-08 11:24:00, (St. Paul),Wonderful duplex with tons of space!,4.0,1400.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-wonderful-duplex-with-tons/7192412072.html,2750,St. Paul,,Highland Village,55105,6,4,3
2020-09-08 11:24:00," (Uptown, Minneapolis)","+1st Month FREE! Gas Range, Urban Upgrades, Dog Park, Amenities Galore",1.0,570.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-1st-month-free-gas-range/7192411299.html,1300,Minneapolis,,Lyndale,55408,1,2,1
2020-09-08 11:23:00, (Minneapolis),BEST LEASE VALUE,4.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-best-lease-value/7184607706.html,639,Minneapolis,,Victory,55412,1,2,
2020-09-08 11:22:00," (Uptown, Minneapolis)","++8 Weeks FREE!! Ultra Urban, Gas Range, Hardwood Floors, Dog Park/Spa",2.0,1120.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-8-weeks-free-ultra-urban/7192410379.html,2185,Minneapolis,,Lyndale,55408,1,2,1
2020-09-08 11:22:00, (ROBBINSDALE),2BR by the Lake in Robbinsdale,2.0,1000.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2br-by-the-lake-in/7192404595.html,1240,Robbinsdale,Robbinsdale,Robbinsdale,55422,1,4,3
2020-09-08 11:19:00, (Minneapolis),"Opening Soon, Grilling Stations, Bike Racks",,481.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-opening-soon-grilling/7192390656.html,1020,Minneapolis,,Sumner-Glenwood,55401,1,4,1
2020-09-08 11:18:00, (St. Paul),Brand New 62+ Senior Community with W/D! 2 Bedroom Apt Available!,2.0,1053.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-brand-new-62-senior/7192391832.html,1306,Minneapolis,,Prospect Park - East River Road,6655114,1,2,1
2020-09-08 11:18:00, (St. Paul),Stunning Renovations! In-Unit Washer/Dryer! High End Appliances!,2.0,800.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-stunning-renovations-in-unit/7192397758.html,1475,Lauderdale,,Lauderdale,55113,1,4,1
2020-09-08 11:17:00, (Minneapolis/Whittier),Available November - All New Updates!,2.0,,https://minneapolis.craigslist.org/dak/apa/d/minneapolis-available-november-all-new/7192391010.html,1699,Minneapolis,,Whittier,55404,1,,1
2020-09-08 11:17:00, (Lowry Hill Uptown Minneapolis),Nice Spacious 1BR in Prime Uptown Location,1.0,600.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-nice-spacious-1br-in-prime/7184147225.html,950,Minneapolis,,Lowry Hill East,55403,1,5,3
2020-09-08 11:17:00, (Lowry Hill Uptown Minneapolis),Totally Updated 1BR w/ New Kitchen and Bathroom Must See,1.0,700.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-totally-updated-1br-new/7189578565.html,1295,Minneapolis,,Lowry Hill East,55403,1,4,1
