posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-06-20 12:00:00, (Alexandria),HUGE 1 BEDROOM APARTMENT -SCHEDULE A TOUR,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-huge-1-bedroom-apartment/7145234759.html,1259,Alexandria,,Charles Barrett,22305,1,4,4
2020-06-20 12:00:00, (Petworth),"Pets Welcome, Indoor bike racks, City views. Schedule a Virtual Tour!",1.0,727.0,https://washingtondc.craigslist.org/doc/apa/d/washington-pets-welcome-indoor-bike/7145247584.html,2425,Washington,,Pleasant Plains,20010,1,2,1
2020-06-20 11:59:00, (14th and Shepherd St),Lovely Petworth House,4.0,,https://washingtondc.craigslist.org/doc/apa/d/washington-lovely-petworth-house/7145250095.html,4600,Washington,,Petworth,20011,6,4,1
2020-06-20 11:59:00, (Alexandria),CALL NOW TO SET UP YOUR VIRTUAL/SELF-GUIDED VISIT! ✨,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-call-now-to-set-up-your/7145245163.html,1259,Alexandria,,George Mason,22305,1,4,4
2020-06-20 11:59:00, (Washington),"$300 OFF,NEW KITCHEN FEATURES,WASHER/DRYER,HARDWOOD FLOORS,APPLY TODAY",2.0,952.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-300-offnew-kitchen/7145249710.html,1990,Alexandria,,Patrick Henry,22304,9,4,1
2020-06-20 11:59:00, (washington),1350ft2 - Newly remodelled 3 Bed 2 Bath House For Rent!!,3.0,,https://washingtondc.craigslist.org/doc/apa/d/washington-1350ft2-newly-remodelled-3/7140575816.html,618,Washington,,Shaw,20005,6,,
2020-06-20 11:58:00, (Arlington),"Call for Details, Pets Welcome, 24hr Concierge Services",2.0,1294.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-call-for-details-pets-welcome/7145249345.html,2800,,,Pentagon City,22202,,,
2020-06-20 11:58:00," (3711 Campus Drive College Park, MD)",Quiet. Luxury. Convenient. 1BR Avail NOW! 1 Month of FREE Rent!,1.0,735.0,https://washingtondc.craigslist.org/doc/apa/d/quiet-luxury-convenient-1br-avail-now-1/7145249042.html,1789,,,Chatham,20740,1,2,1
2020-06-20 11:58:00, (Alexandria),UNBEATABLE SPECIAL! CALL MIRIAM AT LLOYD 🎈,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/unbeatable-special-call-miriam-at-lloyd/7145248985.html,1259,Alexandria,,Charles Barrett,22305,1,4,4
2020-06-20 11:57:00, (Washington),"Lease Today, Valet and Dry Cleaners, All Utilities Included",1.0,900.0,https://washingtondc.craigslist.org/doc/apa/d/washington-lease-today-valet-and-dry/7145247471.html,1900,Washington,,Cathedral Heights,20016,1,,4
2020-06-20 11:57:00, (Arlington),"High-rise 2 bed, 2 bath at Richmond Square",2.0,1030.0,https://washingtondc.craigslist.org/nva/apa/d/high-rise-2-bed-2-bath-at-richmond/7145248615.html,2795,,,,22203,1,2,1
2020-06-20 11:56:00, (Springfield),"Basement apartment in Springfield, VA (half acre yard, pets welcome!)",1.0,800.0,https://washingtondc.craigslist.org/nva/apa/d/springfield-basement-apartment-in/7145247808.html,1000,,,Beverly Forest,22150,6,4,4
2020-06-20 11:56:00, (Evolution at Towne Centre in Laurel),"Private Balcony, In-Unit Laundry, Disability Access",2.0,1042.0,https://washingtondc.craigslist.org/mld/apa/d/laurel-private-balcony-in-unit-laundry/7145247520.html,1950,Laurel,,Stonewood,20707,1,2,1
2020-06-20 11:56:00, (Alexandria),APP REBATE + AMAZING SPECIALS= UNBEATABLE!,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-app-rebate-amazing-specials/7145247411.html,1259,Alexandria,,Charles Barrett,22305,1,4,4
2020-06-20 11:51:00, (Alexandria),APP REBATE + AMAZING SPECIALS= UNBEATABLE!,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-app-rebate-amazing-specials/7145244239.html,1259,Alexandria,,Charles Barrett,22305,1,4,4
2020-06-20 11:43:00, (Alexandria),APP REBATE + AMAZING SPECIALS= UNBEATABLE!,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-app-rebate-amazing-specials/7145238681.html,1259,Alexandria,,Charles Barrett,22305,1,4,4
2020-06-20 11:55:00, (washington),Beautiful Single Family Home - Walk-out Basement,3.0,,https://washingtondc.craigslist.org/doc/apa/d/washington-beautiful-single-family-home/7142955643.html,699,Washington,,Washington,20332,6,2,2
2020-06-20 11:55:00, (Alexandria),"SOCIAL DISTANCE TOURS, APPLY ONLINE NOW BEFORE THIS SPECIAL IS OVER!",1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-social-distance-tours-apply/7145247028.html,1259,Alexandria,,Charles Barrett,22305,1,4,4
2020-06-20 11:55:00, (Arlington VA),Amazing Condo in Fairlington Village,2.0,1490.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-amazing-condo-in-fairlington/7140406619.html,2500,Alexandria,,John Adams,22302,2,5,1
2020-06-20 11:54:00, (Alexandria),THIS SPECIAL IS UNBEATABLE! APPLY NOW TO START SAVING!! 🤑,1.0,650.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-this-special-is-unbeatable/7145246527.html,1259,Alexandria,,George Mason,22305,1,4,4
